Category: All categories

Week,autohero: (Germany)
2020-12-27,71
2021-01-03,50
2021-01-10,46
2021-01-17,45
2021-01-24,42
2021-01-31,57
2021-02-07,52
2021-02-14,48
2021-02-21,52
2021-02-28,47
2021-03-07,55
2021-03-14,47
2021-03-21,44
2021-03-28,42
2021-04-04,47
2021-04-11,57
2021-04-18,50
2021-04-25,50
2021-05-02,51
2021-05-09,70
2021-05-16,57
2021-05-23,57
2021-05-30,66
2021-06-06,46
2021-06-13,54
2021-06-20,56
2021-06-27,86
2021-07-04,62
2021-07-11,52
2021-07-18,55
2021-07-25,62
2021-08-01,70
2021-08-08,51
2021-08-15,67
2021-08-22,64
2021-08-29,54
2021-09-05,57
2021-09-12,58
2021-09-19,53
2021-09-26,50
2021-10-03,62
2021-10-10,70
2021-10-17,80
2021-10-24,80
2021-10-31,79
2021-11-07,77
2021-11-14,70
2021-11-21,72
2021-11-28,63
2021-12-05,61
2021-12-12,68
2021-12-19,67
2021-12-26,94
2022-01-02,100
2022-01-09,95
2022-01-16,85
2022-01-23,88
2022-01-30,80
2022-02-06,80
2022-02-13,86
2022-02-20,84
2022-02-27,72
2022-03-06,64
2022-03-13,62
2022-03-20,65
2022-03-27,65
2022-04-03,68
2022-04-10,69
2022-04-17,69
2022-04-24,70
2022-05-01,59
2022-05-08,62
2022-05-15,69
2022-05-22,71
2022-05-29,61
2022-06-05,58
2022-06-12,55
2022-06-19,51
2022-06-26,54
2022-07-03,56
2022-07-10,52
2022-07-17,50
2022-07-24,54
2022-07-31,47
2022-08-07,52
2022-08-14,47
2022-08-21,54
2022-08-28,57
2022-09-04,46
2022-09-11,55
2022-09-18,64
2022-09-25,57
2022-10-02,47
2022-10-09,46
2022-10-16,55
2022-10-23,48
2022-10-30,48
2022-11-06,51
2022-11-13,55
2022-11-20,56
2022-11-27,57
2022-12-04,55
2022-12-11,47
2022-12-18,47
2022-12-25,59
2023-01-01,72
2023-01-08,80
2023-01-15,74
2023-01-22,84
2023-01-29,70
2023-02-05,59
2023-02-12,56
2023-02-19,65
2023-02-26,52
2023-03-05,62
2023-03-12,62
2023-03-19,65
2023-03-26,58
2023-04-02,58
2023-04-09,50
2023-04-16,56
2023-04-23,54
2023-04-30,61
2023-05-07,55
2023-05-14,57
2023-05-21,51
2023-05-28,52
2023-06-04,57
2023-06-11,53
2023-06-18,45
2023-06-25,54
2023-07-02,55
2023-07-09,48
2023-07-16,41
2023-07-23,43
2023-07-30,47
2023-08-06,51
2023-08-13,47
2023-08-20,45
2023-08-27,49
2023-09-03,52
2023-09-10,49
2023-09-17,56
2023-09-24,49
2023-10-01,48
2023-10-08,48
2023-10-15,46
2023-10-22,54
2023-10-29,48
2023-11-05,49
2023-11-12,55
2023-11-19,53
2023-11-26,49
2023-12-03,50
2023-12-10,56
2023-12-17,47
2023-12-24,48
2023-12-31,57
2024-01-07,55
2024-01-14,59
2024-01-21,59
2024-01-28,53
2024-02-04,59
2024-02-11,48
2024-02-18,49
2024-02-25,51
2024-03-03,54
2024-03-10,58
2024-03-17,51
2024-03-24,47
2024-03-31,59
2024-04-07,53
2024-04-14,54
2024-04-21,55
