dates,cars_sold,n
2024-06-11,126,21
2024-06-10,116,21
2024-06-09,0,21
2024-06-08,34,21
2024-06-07,111,21
2024-06-06,102,21
2024-06-05,128,21
2024-06-04,119,21
2024-06-03,116,21
2024-06-02,0,21
2024-06-01,36,21
2024-05-31,105,21
2024-05-30,92,21
2024-05-29,102,21
2024-05-28,113,21
2024-05-27,114,21
2024-05-26,0,21
2024-05-25,54,21
2024-05-24,93,21
2024-05-23,97,21
2024-05-22,113,21
2024-05-21,125,21
2024-05-20,0,21
2024-05-19,0,21
2024-05-18,37,21
2024-05-17,94,21
2024-05-16,76,21
2024-05-15,83,21
2024-05-14,94,21
2024-05-13,100,21
2024-05-12,0,21
2024-05-11,48,21
2024-05-10,126,21
2024-05-09,0,21
2024-05-08,103,21
2024-05-07,97,21
2024-05-06,135,21
2024-05-05,0,21
2024-05-04,46,21
2024-05-03,106,21
2024-05-02,121,21
2024-05-01,0,21
2024-04-30,86,21
2024-04-29,91,21
2024-04-28,0,21
2024-04-27,50,21
2024-04-26,90,21
2024-04-25,86,21
2024-04-24,100,21
2024-04-23,105,21
2024-04-22,103,21
2024-04-21,0,21
2024-04-20,41,21
2024-04-19,74,21
2024-04-18,92,21
2024-04-17,89,21
2024-04-16,110,21
2024-04-15,85,21
2024-04-14,0,21
2024-04-13,47,21
2024-04-12,71,21
2024-04-11,97,21
2024-04-10,86,21
2024-04-09,112,21
2024-04-08,102,21
2024-04-07,0,21
2024-04-06,32,21
2024-04-05,90,21
2024-04-04,105,21
2024-04-03,108,21
2024-04-02,91,21
2024-04-01,0,21
2024-03-31,0,21
2024-03-30,43,21
2024-03-29,0,21
2024-03-28,70,21
2024-03-27,65,21
2024-03-26,103,21
2024-03-25,91,21
2024-03-24,0,21
2024-03-23,42,21
2024-03-22,98,21
2024-03-21,86,21
2024-03-20,89,21
2024-03-19,84,21
2024-03-18,98,21
2024-03-17,0,21
2024-03-16,44,21
2024-03-15,58,21
2024-03-14,71,21
2024-03-13,81,21
2024-03-12,123,21
2024-03-11,89,21
2024-03-10,0,21
2024-03-09,11,21
2024-03-08,50,21
2024-03-07,75,21
2024-03-06,105,21
2024-03-05,99,21
2024-03-04,86,21
2024-03-03,0,21
2024-03-02,36,21
2024-03-01,74,21
2024-02-29,90,21
2024-02-28,79,21
2024-02-27,98,21
2024-02-26,107,21
2024-02-25,0,21
2024-02-24,17,21
2024-02-23,83,21
2024-02-22,81,21
2024-02-21,130,21
2024-02-20,115,21
2024-02-19,101,21
2024-02-18,0,21
2024-02-17,12,21
2024-02-16,86,21
2024-02-15,89,21
2024-02-14,84,21
2024-02-13,82,21
2024-02-12,82,21
2024-02-11,0,21
2024-02-10,37,21
2024-02-09,73,21
2024-02-08,90,21
2024-02-07,87,21
2024-02-06,112,21
2024-02-05,82,21
2024-02-04,0,21
2024-02-03,24,21
2024-02-02,77,21
2024-02-01,90,21
2024-01-31,90,21
2024-01-30,98,21
2024-01-29,97,21
2024-01-28,0,21
2024-01-27,26,21
2024-01-26,59,21
2024-01-25,85,21
2024-01-24,81,21
2024-01-23,85,21
2024-01-22,87,21
2024-01-21,0,21
2024-01-20,26,21
2024-01-19,72,21
2024-01-18,75,21
2024-01-17,89,21
2024-01-16,93,21
2024-01-15,58,21
2024-01-14,0,21
2024-01-13,31,21
2024-01-12,85,21
2024-01-11,93,21
2024-01-10,103,21
2024-01-09,78,21
2024-01-08,85,21
2024-01-07,0,21
2024-01-06,35,21
2024-01-05,117,21
2024-01-04,108,21
2024-01-03,74,21
2024-01-02,70,21
2024-01-01,0,21
2023-12-31,0,21
2023-12-30,26,21
2023-12-29,78,21
2023-12-28,61,21
2023-12-27,98,21
2023-12-26,0,21
2023-12-25,0,21
2023-12-24,0,21
2023-12-23,16,21
2023-12-22,76,21
2023-12-21,71,21
2023-12-20,66,21
2023-12-19,67,21
2023-12-18,76,21
2023-12-17,0,21
2023-12-16,31,21
2023-12-15,56,21
2023-12-14,68,21
2023-12-13,83,21
2023-12-12,58,21
2023-12-11,60,21
2023-12-10,0,21
2023-12-09,35,21
2023-12-08,59,21
2023-12-07,83,21
2023-12-06,101,21
2023-12-05,105,21
2023-12-04,96,21
2023-12-03,0,21
2023-12-02,25,21
2023-12-01,77,21
2023-11-30,79,21
2023-11-29,93,21
2023-11-28,92,21
2023-11-27,92,21
2023-11-26,0,21
2023-11-25,23,21
2023-11-24,76,21
2023-11-23,90,21
2023-11-22,103,21
2023-11-21,85,21
2023-11-20,119,21
2023-11-19,0,21
2023-11-18,26,21
2023-11-17,78,21
2023-11-16,77,21
2023-11-15,89,21
2023-11-14,108,21
2023-11-13,119,21
2023-11-12,0,21
2023-11-11,33,21
2023-11-10,88,21
2023-11-09,99,21
2023-11-08,80,21
2023-11-07,79,21
2023-11-06,116,21
2023-11-05,0,21
2023-11-04,50,21
2023-11-03,59,21
2023-11-02,70,21
2023-11-01,91,21
2023-10-31,50,21
2023-10-30,85,21
2023-10-29,0,21
2023-10-28,13,21
2023-10-27,58,21
2023-10-26,70,21
2023-10-25,91,21
2023-10-24,79,21
2023-10-23,91,21
2023-10-22,0,21
2023-10-21,34,21
2023-10-20,58,21
2023-10-19,69,21
2023-10-18,65,21
2023-10-17,72,21
2023-10-16,77,21
2023-10-15,0,21
2023-10-14,29,21
2023-10-13,72,21
2023-10-12,71,21
2023-10-11,64,21
2023-10-10,86,21
2023-10-09,108,21
2023-10-08,0,21
2023-10-07,15,21
2023-10-06,61,21
2023-10-05,68,21
2023-10-04,138,21
2023-10-03,1,21
2023-10-02,77,21
2023-10-01,0,21
2023-09-30,39,21
2023-09-29,70,21
2023-09-28,72,21
2023-09-27,84,21
2023-09-26,73,21
2023-09-25,87,21
2023-09-24,0,21
2023-09-23,29,21
2023-09-22,81,21
2023-09-21,59,21
2023-09-20,72,21
2023-09-19,83,21
2023-09-18,81,21
2023-09-17,4,21
2023-09-16,28,21
2023-09-15,81,21
2023-09-14,92,21
2023-09-13,64,21
2023-09-12,89,21
2023-09-11,106,21
2023-09-10,0,21
2023-09-09,27,21
2023-09-08,77,21
2023-09-07,75,21
2023-09-06,69,21
2023-09-05,85,21
2023-09-04,138,21
2023-09-03,0,21
2023-09-02,16,21
2023-09-01,74,21
2023-08-31,70,21
2023-08-30,92,21
2023-08-29,81,21
2023-08-28,105,21
2023-08-27,0,21
2023-08-26,18,21
2023-08-25,60,21
2023-08-24,59,21
2023-08-23,74,21
2023-08-22,88,21
2023-08-21,101,21
2023-08-20,0,21
2023-08-19,11,21
2023-08-18,78,21
2023-08-17,63,21
2023-08-16,79,21
2023-08-15,70,21
2023-08-14,87,21
2023-08-13,0,21
2023-08-12,32,21
2023-08-11,52,21
2023-08-10,47,21
2023-08-09,68,21
2023-08-08,74,21
2023-08-07,84,21
2023-08-06,0,21
2023-08-05,19,21
2023-08-04,41,21
2023-08-03,62,21
2023-08-02,63,21
2023-08-01,72,21
2023-07-31,80,21
2023-07-30,0,21
2023-07-29,12,21
2023-07-28,40,21
2023-07-27,51,21
2023-07-26,70,21
2023-07-25,93,21
2023-07-24,74,21
2023-07-23,0,21
2023-07-22,15,21
2023-07-21,59,21
2023-07-20,57,21
2023-07-19,67,21
2023-07-18,78,21
2023-07-17,78,21
2023-07-16,1,21
2023-07-15,24,21
2023-07-14,54,21
2023-07-13,61,21
2023-07-12,59,21
2023-07-11,64,21
2023-07-10,60,21
2023-07-09,0,21
2023-07-08,19,21
2023-07-07,70,21
2023-07-06,54,21
2023-07-05,47,21
2023-07-04,96,21
2023-07-03,63,21
2023-07-02,0,21
2023-07-01,34,21
2023-06-30,45,21
2023-06-29,46,21
2023-06-28,46,21
2023-06-27,62,21
2023-06-26,65,21
2023-06-25,0,21
2023-06-24,23,21
2023-06-23,53,21
2023-06-22,57,21
2023-06-21,41,21
2023-06-20,72,21
2023-06-19,48,21
2023-06-18,0,21
2023-06-17,20,21
2023-06-16,50,21
2023-06-15,56,21
2023-06-14,48,21
2023-06-13,70,21
2023-06-12,76,21
2023-06-11,0,21
2023-06-10,15,21
2023-06-09,44,21
2023-06-08,60,21
2023-06-07,68,21
2023-06-06,57,21
2023-06-05,67,21
2023-06-04,0,21
2023-06-03,17,21
2023-06-02,43,21
2023-06-01,52,21
2023-05-31,59,21
2023-05-30,91,21
2023-05-29,0,21
2023-05-28,0,21
2023-05-27,12,21
2023-05-26,46,21
2023-05-25,51,21
2023-05-24,52,21
2023-05-23,79,21
2023-05-22,73,21
2023-05-21,0,21
2023-05-20,8,21
2023-05-19,77,21
2023-05-18,0,21
2023-05-17,54,21
2023-05-16,52,21
2023-05-15,88,21
2023-05-14,0,21
2023-05-13,14,21
2023-05-12,59,21
2023-05-11,61,21
2023-05-10,54,21
2023-05-09,64,21
2023-05-08,93,21
2023-05-07,0,21
2023-05-06,20,21
2023-05-05,67,21
2023-05-04,53,21
2023-05-03,83,21
2023-05-02,75,21
2023-05-01,0,21
2023-04-30,0,21
2023-04-29,16,21
2023-04-28,66,21
2023-04-27,51,21
2023-04-26,73,21
2023-04-25,79,21
2023-04-24,78,21
2023-04-23,0,21
2023-04-22,21,21
2023-04-21,74,21
2023-04-20,78,21
2023-04-19,65,21
2023-04-18,63,21
2023-04-17,72,21
2023-04-16,0,21
2023-04-15,26,21
2023-04-14,59,21
2023-04-13,68,21
2023-04-12,74,21
2023-04-11,73,21
2023-04-10,0,21
2023-04-09,0,21
2023-04-08,24,21
2023-04-07,0,21
2023-04-06,47,21
2023-04-05,58,21
2023-04-04,57,21
2023-04-03,61,21
2023-04-02,0,21
2023-04-01,16,21
2023-03-31,52,21
2023-03-30,61,21
2023-03-29,67,21
2023-03-28,46,21
2023-03-27,76,21
2023-03-26,1,21
2023-03-25,9,21
2023-03-24,41,21
2023-03-23,55,21
2023-03-22,60,21
2023-03-21,80,21
2023-03-20,77,21
2023-03-19,0,21
2023-03-18,16,21
2023-03-17,48,21
2023-03-16,50,21
2023-03-15,54,21
2023-03-14,53,21
2023-03-13,46,21
2023-03-12,1,21
2023-03-11,16,21
2023-03-10,30,21
2023-03-09,18,21
2023-03-08,47,21
2023-03-07,55,21
2023-03-06,66,21
2023-03-05,36,21
2023-03-04,38,21
2023-03-03,55,21
2023-03-02,65,21
2023-03-01,62,21
2023-02-28,63,21
2023-02-27,56,21
2023-02-26,27,21
2023-02-25,44,21
2023-02-24,60,21
2023-02-23,63,21
2023-02-22,62,21
2023-02-21,60,21
2023-02-20,49,21
2023-02-19,36,21
2023-02-18,51,21
2023-02-17,43,21
2023-02-16,71,21
2023-02-15,60,21
2023-02-14,67,21
2023-02-13,74,21
2023-02-12,23,21
2023-02-11,51,21
2023-02-10,68,21
2023-02-09,72,21
2023-02-08,68,21
2023-02-07,73,21
2023-02-06,60,21
2023-02-05,37,21
2023-02-04,51,21
2023-02-03,58,21
2023-02-02,85,21
2023-02-01,75,21
2023-01-31,74,21
2023-01-30,83,21
2023-01-29,43,21
2023-01-28,50,21
2023-01-27,60,21
2023-01-26,65,21
