company,frequency,recency,monetary,low_hp,medium_hp,high_hp,old_,recent_,low_mileage,medium_mileage,high_mileage,less_5k,_5k_10k_,_10k_,profit_per_car
YANIS AUTO,1,8,1,1,0,0,1,0,0,1,0,1,0,0,304
AUTO-FOCUS Tomasz Różycki,1,9,2,0,0,1,1,0,0,0,1,1,0,0,693
Miroslav Lízal,2,7,3,3,0,0,3,0,0,3,0,3,0,0,415.3333333
S-TRADE Grażyna Praszelik-Kocjan,3,10,6,3,3,0,6,0,0,1,5,3,2,1,817.1666667
MOSKALETS KOSTIANTYN,1,9,5,1,0,0,0,1,1,0,0,0,0,1,725
Auto Zagato V.O.F.,1,10,3,0,1,0,1,0,1,0,0,0,1,0,910
NOKAS PIPAS AUTOMOVEIS LDA,1,7,4,1,0,0,0,1,1,0,0,0,0,1,0
Car’s & Co,1,9,2,1,0,0,1,0,1,0,0,1,0,0,451
AUTO PARTNER Maciej Guc,4,3,4,13,1,0,14,0,0,10,4,14,0,0,291.2142857
SHOPPING CAR S.R.L.,3,7,7,8,0,0,4,4,8,0,0,0,7,1,766.375
SAVAUTOS,1,8,4,1,0,0,0,1,1,0,0,0,0,1,1571
UAB Narbona,1,9,3,1,1,0,2,0,0,0,2,2,0,0,280.5
"AUTO HANDEL ""DUET"" Magdalena Paurowska",3,7,6,5,0,0,3,2,1,3,1,2,0,3,634
Nice Cars e.K.,3,2,9,1,4,2,4,3,2,5,0,0,1,6,2216.142857
MMR COMERCIO DE AUTOMOVEIS UNIPESSOAL LDA,3,3,7,8,0,0,0,8,4,4,0,1,3,4,507.5
CH Auto s.r.o.,2,7,4,4,0,0,4,0,0,4,0,3,1,0,575
AUTO MARNICK BVBA,5,1,9,19,0,0,2,17,14,5,0,0,5,14,111.1052632
Tek Car Distribution S.A R.L.,4,3,9,13,0,0,0,13,13,0,0,0,0,13,565.2307692
Ionut-Gheorghe Malan,5,5,8,11,6,2,17,2,0,4,15,11,6,2,554.3684211
AHG Westrich GmbH,1,1,4,1,0,0,0,1,1,0,0,0,0,1,912
Autohaus Landherr GmbH,1,9,4,1,0,0,0,1,1,0,0,0,0,1,639
MOTORDRIVE S.R.L.,1,7,2,1,0,0,1,0,1,0,0,1,0,0,690
VISCARDI AUTOTURISME SRL,5,6,7,13,2,0,15,0,0,2,13,12,3,0,424.6666667
"Autohandel ADAM, Inh. Vladimir Adam",1,10,1,1,0,0,1,0,0,1,0,1,0,0,219
ALEXANDRA MEDINA UNIPESSOAL LDA,1,9,3,2,0,0,0,2,0,0,2,2,0,0,278.5
Heiko Isfort,1,2,3,1,0,0,0,1,1,0,0,0,1,0,882
ANDREIA RAQUEL RAMALHO DA ROCHA,1,10,2,1,0,0,1,0,0,1,0,1,0,0,406
Moerman Jansen BV,3,9,7,5,0,0,2,3,5,0,0,0,1,4,-643.4
"LunaCars, Inh. Michael Bobb",1,1,2,1,0,0,1,0,1,0,0,1,0,0,459
FLY BUY FLY D.O.O.,4,8,10,0,2,9,0,11,6,5,0,0,0,11,978.4545455
ATTRACTIVE CARS,1,7,5,1,0,0,0,1,1,0,0,0,0,1,624
"Autohaus Sauer, Inh. Torsten Heimer e. K.",1,8,4,2,0,0,1,1,2,0,0,0,2,0,152
CARZENTRUM GROUP S.R.L.,1,9,5,2,0,0,0,2,1,1,0,0,0,2,319.5
"H & S Autohandel, Inh. Said Hashimi",1,10,5,0,2,0,2,0,0,2,0,0,0,2,884
"MS-AUTOMOBILE, Inh. Mahmut Sinan Sabahoglu",2,4,6,1,1,1,2,1,0,0,3,0,2,1,1036.333333
SALSI MIRCO,1,9,3,1,0,0,1,0,0,1,0,0,1,0,606
"Euromobile333, Inh. Hassan Ayoub",1,10,5,0,1,0,0,1,1,0,0,0,0,1,544
Intrigenal s.r.o.,4,4,9,6,8,0,11,3,0,10,4,3,8,3,559.7142857
Autowinkel B.V. Woerden,1,10,7,0,0,1,0,1,1,0,0,0,0,1,1828
GARAGE MEIRHAEGHE,4,3,9,10,3,0,2,11,13,0,0,0,1,12,18.53846154
Karaván Autó Korlátolt Felelősségű Társaság,1,10,2,2,0,0,2,0,1,1,0,2,0,0,396.5
GOLDEN CAR,3,8,5,1,4,0,5,0,0,5,0,2,2,1,604.4
Adam Vedej,3,10,4,4,2,0,6,0,0,0,6,5,1,0,557.3333333
"Auto Dienst Bieberich, Inh. Norbert Bieberich",5,8,9,15,0,0,6,9,15,0,0,1,4,10,650.6666667
CAR AND LEASE BROKER SRL,1,4,4,0,0,1,1,0,1,0,0,0,0,1,-9159
SIM SIM MONTEIRO'S - INVESTIMENTOS UNIPESSOAL LDA,1,10,2,1,0,0,1,0,1,0,0,1,0,0,351
"Wojciech Średniawa Firma Handlowo Usługowa ""AUTO-PREMIUM""",1,10,5,1,1,0,1,1,0,0,2,0,1,1,397.5
Autohaus LCF GmbH & Co. KG,6,7,10,16,11,0,6,21,25,2,0,2,10,15,-305.9259259
Hauck Automobile GmbH,9,1,11,86,8,0,85,9,90,4,0,33,59,2,716.8404255
"""RAF-CAR"" RAFAŁ CHUDY",5,4,5,19,0,0,19,0,0,8,11,19,0,0,344.6842105
VARSÁNYI GERGELY E.V.,3,4,5,8,0,0,7,1,2,6,0,8,0,0,614.625
