dates,cars_sold
2021-01-01,6
2021-01-02,14
2021-01-03,5
2021-01-04,26
2021-01-05,26
2021-01-06,20
2021-01-07,20
2021-01-08,26
2021-01-09,15
2021-01-10,5
2021-01-11,28
2021-01-12,23
2021-01-13,29
2021-01-14,22
2021-01-15,24
2021-01-16,13
2021-01-17,6
2021-01-18,29
2021-01-19,27
2021-01-20,26
2021-01-21,21
2021-01-22,13
2021-01-23,17
2021-01-24,8
2021-01-25,21
2021-01-26,14
2021-01-27,22
2021-01-28,27
2021-01-29,39
2021-01-30,13
2021-01-31,15
2021-02-01,31
2021-02-02,28
2021-02-03,25
2021-02-04,28
2021-02-05,30
2021-02-06,16
2021-02-07,6
2021-02-08,34
2021-02-09,30
2021-02-10,21
2021-02-11,22
2021-02-12,21
2021-02-13,23
2021-02-14,10
2021-02-15,26
2021-02-16,17
2021-02-17,23
2021-02-18,20
2021-02-19,42
2021-02-20,14
2021-02-21,12
2021-02-22,30
2021-02-23,21
2021-02-24,34
2021-02-25,27
2021-02-26,35
2021-02-27,20
2021-02-28,17
2021-03-01,37
2021-03-02,30
2021-03-03,32
2021-03-04,33
2021-03-05,22
2021-03-06,23
2021-03-07,9
2021-03-08,30
2021-03-09,28
2021-03-10,22
2021-03-11,26
2021-03-12,22
2021-03-13,19
2021-03-14,10
2021-03-15,25
2021-03-16,18
2021-03-17,36
2021-03-18,23
2021-03-19,24
2021-03-20,14
2021-03-21,8
2021-03-22,32
2021-03-23,20
2021-03-24,23
2021-03-25,17
2021-03-26,23
2021-03-27,13
2021-03-28,8
2021-03-29,18
2021-03-30,17
2021-03-31,29
2021-04-01,16
2021-04-02,3
2021-04-03,15
2021-04-04,5
2021-04-05,8
2021-04-06,28
2021-04-07,24
2021-04-08,22
2021-04-09,30
2021-04-10,19
2021-04-11,9
2021-04-12,17
2021-04-13,17
2021-04-14,20
2021-04-15,22
2021-04-16,25
2021-04-17,11
2021-04-18,13
2021-04-19,25
2021-04-20,16
2021-04-21,31
2021-04-22,19
2021-04-23,18
2021-04-24,10
2021-04-25,6
2021-04-26,33
2021-04-27,34
2021-04-28,23
2021-04-29,21
2021-04-30,23
2021-05-01,7
2021-05-02,10
2021-05-03,24
2021-05-04,27
2021-05-05,29
2021-05-06,28
2021-05-07,20
2021-05-08,11
2021-05-09,6
2021-05-10,23
2021-05-11,25
2021-05-12,28
2021-05-13,12
2021-05-14,29
2021-05-15,13
2021-05-16,17
2021-05-17,30
2021-05-18,38
2021-05-19,34
2021-05-20,25
2021-05-21,26
2021-05-22,14
2021-05-23,12
2021-05-24,4
2021-05-25,34
2021-05-26,32
2021-05-27,24
2021-05-28,38
2021-05-29,16
2021-05-30,10
2021-05-31,29
2021-06-01,35
2021-06-02,33
2021-06-03,19
2021-06-04,25
2021-06-05,14
2021-06-06,11
2021-06-07,27
2021-06-08,28
2021-06-09,33
2021-06-10,19
2021-06-11,22
2021-06-12,16
2021-06-13,12
2021-06-14,30
2021-06-15,27
2021-06-16,25
2021-06-17,26
2021-06-18,23
2021-06-19,17
2021-06-20,7
2021-06-21,29
2021-06-22,36
2021-06-23,27
2021-06-24,24
2021-06-25,26
2021-06-26,20
2021-06-27,6
2021-06-28,30
2021-06-29,31
2021-06-30,24
2021-07-01,33
2021-07-02,33
2021-07-03,18
2021-07-04,6
2021-07-05,36
2021-07-06,30
2021-07-07,32
2021-07-08,25
2021-07-09,26
2021-07-10,16
2021-07-11,11
2021-07-12,31
2021-07-13,35
2021-07-14,36
2021-07-15,31
2021-07-16,31
2021-07-17,22
2021-07-18,11
2021-07-19,30
2021-07-20,34
2021-07-21,27
2021-07-22,30
2021-07-23,25
2021-07-24,21
2021-07-25,11
2021-07-26,27
2021-07-27,24
2021-07-28,31
2021-07-29,23
2021-07-30,34
2021-07-31,19
2021-08-01,11
2021-08-02,29
2021-08-03,39
2021-08-04,38
2021-08-05,30
2021-08-06,32
2021-08-07,28
2021-08-08,11
