Week,BENFICA_trend,SPORTING_trend,PORTO_trend
2019-06-02,10,10,14
2019-06-09,11,13,13
2019-06-16,11,13,12
2019-06-23,7,8,14
2019-06-30,9,10,17
2019-07-07,18,11,17
2019-07-14,12,10,21
2019-07-21,12,12,30
2019-07-28,14,15,17
2019-08-04,32,22,33
2019-08-11,22,16,56
2019-08-18,34,17,66
2019-08-25,14,28,22
2019-09-01,21,17,24
2019-09-08,15,9,11
2019-09-15,25,20,35
2019-09-22,23,33,29
2019-09-29,18,24,29
2019-10-06,7,7,8
2019-10-13,13,16,13
2019-10-20,15,13,21
2019-10-27,28,19,34
2019-11-03,22,17,27
2019-11-10,7,12,23
2019-11-17,14,6,11
2019-11-24,21,11,27
2019-12-01,21,16,25
2019-12-08,22,16,31
2019-12-15,21,15,25
2019-12-22,8,7,16
2019-12-29,19,9,13
2020-01-05,22,33,51
2020-01-12,41,37,32
2020-01-19,11,15,41
2020-01-26,25,16,37
2020-02-02,43,14,70
2020-02-09,33,17,38
2020-02-16,20,14,51
2020-02-23,31,20,48
2020-03-01,31,17,47
2020-03-08,7,15,13
2020-03-15,3,3,6
2020-03-22,3,3,6
2020-03-29,4,4,8
2020-04-05,5,5,10
2020-04-12,5,4,9
2020-04-19,5,4,7
2020-04-26,4,4,9
2020-05-03,4,4,8
2020-05-10,4,4,7
2020-05-17,5,5,7
2020-05-24,5,5,8
2020-05-31,22,13,35
2020-06-07,17,12,34
2020-06-14,22,10,23
2020-06-21,20,11,27
2020-06-28,27,14,24
2020-07-05,22,14,47
2020-07-12,24,26,74
2020-07-19,24,18,33
2020-07-26,24,8,40
2020-08-02,14,6,16
2020-08-09,15,7,13
2020-08-16,15,9,13
2020-08-23,16,9,14
2020-08-30,21,10,14
2020-09-06,9,7,15
2020-09-13,24,9,25
2020-09-20,13,14,20
2020-09-27,10,17,22
2020-10-04,18,14,22
2020-10-11,8,18,28
2020-10-18,24,12,29
2020-10-25,28,13,33
2020-11-01,26,19,16
2020-11-08,20,9,18
2020-11-15,8,6,12
2020-11-22,14,18,20
2020-11-29,20,14,27
2020-12-06,22,11,18
2020-12-13,21,15,26
2020-12-20,25,10,45
2020-12-27,15,21,25
2021-01-03,28,20,29
2021-01-10,28,24,56
2021-01-17,13,26,25
2021-01-24,19,19,23
2021-01-31,31,46,36
2021-02-07,23,28,56
2021-02-14,23,30,30
2021-02-21,23,30,57
2021-02-28,23,24,38
2021-03-07,20,20,35
2021-03-14,8,20,28
2021-03-21,13,11,11
2021-03-28,6,10,17
2021-04-04,17,20,30
2021-04-11,14,37,26
2021-04-18,12,28,36
2021-04-25,18,44,53
2021-05-02,29,44,47
2021-05-09,36,100,45
2021-05-16,13,26,22
2021-05-23,16,11,15
2021-05-30,6,11,13
2021-06-06,7,10,9
2021-06-13,5,9,8
2021-06-20,5,9,10
2021-06-27,6,12,11
2021-07-04,10,11,11
2021-07-11,10,13,11
2021-07-18,12,10,12
2021-07-25,10,18,20
2021-08-01,28,20,14
2021-08-08,27,16,21
2021-08-15,26,18,21
2021-08-22,24,22,26
2021-08-29,21,13,14
2021-09-05,16,30,29
2021-09-12,25,35,27
2021-09-19,24,30,26
2021-09-26,33,31,32
2021-10-03,23,10,10
2021-10-10,16,14,12
2021-10-17,25,26,27
2021-10-24,29,28,25
2021-10-31,24,23,25
2021-11-07,21,16,16
2021-11-14,13,15,15
2021-11-21,30,30,28
2021-11-28,37,46,28
2021-12-05,25,29,30
2021-12-12,26,26,32
2021-12-19,31,18,50
2021-12-26,34,23,62
2022-01-02,10,20,29
2022-01-09,23,17,26
2022-01-16,12,26,27
2022-01-23,27,37,26
2022-01-30,20,27,26
2022-02-06,22,51,65
2022-02-13,21,33,33
2022-02-20,26,27,39
2022-02-27,22,37,51
2022-03-06,17,26,37
2022-03-13,24,24,37
2022-03-20,16,9,23
2022-03-27,17,8,14
2022-04-03,28,24,27
2022-04-10,23,14,39
2022-04-17,37,50,46
2022-04-24,18,23,51
2022-05-01,32,27,66
2022-05-08,14,13,39
2022-05-15,7,8,17
2022-05-22,7,8,22
2022-05-29,7,6,10
2022-06-05,8,8,10
2022-06-12,9,10,12
2022-06-19,12,10,13
2022-06-26,8,8,12
2022-07-03,12,8,12
2022-07-10,12,12,13
2022-07-17,19,14,18
2022-07-24,17,19,22
2022-07-31,31,11,24
2022-08-07,28,25,17
2022-08-14,22,31,57
2022-08-21,33,26,19
2022-08-28,49,25,57
2022-09-04,37,30,44
2022-09-11,34,39,53
2022-09-18,23,9,14
2022-09-25,22,16,26
2022-10-02,39,29,49
2022-10-09,43,24,37
2022-10-16,39,28,69
2022-10-23,41,33,46
2022-10-30,27,37,46
2022-11-06,34,12,31
2022-11-13,18,13,12
2022-11-20,21,8,20
2022-11-27,8,10,10
2022-12-04,9,9,13
2022-12-11,16,9,14
2022-12-18,8,13,18
2022-12-25,24,14,21
2023-01-01,19,10,24
2023-01-08,22,22,26
2023-01-15,40,40,34
2023-01-22,18,31,47
2023-01-29,27,21,31
2023-02-05,25,18,38
2023-02-12,26,36,58
2023-02-19,34,26,40
2023-02-26,25,22,55
2023-03-05,26,24,33
2023-03-12,35,41,51
2023-03-19,17,13,28
2023-03-26,17,16,14
2023-04-02,57,18,91
2023-04-09,42,31,38
2023-04-16,30,36,35
2023-04-23,44,16,34
2023-04-30,38,16,58
2023-05-07,30,26,42
2023-05-14,22,17,100
2023-05-21,100,60,75
2023-05-28,20,9,21
2023-06-04,17,11,37
2023-06-11,16,13,11
2023-06-18,15,11,10
2023-06-25,8,6,9
2023-07-02,11,9,12
2023-07-09,15,10,12
2023-07-16,28,14,19
2023-07-23,17,12,27
2023-07-30,15,17,16
2023-08-06,35,22,60
2023-08-13,45,23,44
